	claim	lable	link
0	Capriccio Bubbly Sangria beverages are contaminated with HIV.	false	https://www.snopes.com/fact-check/contaminated-capriccio-sangria/
1	"Speaking at the University of California Berkeley in May 2018, Hillary Clinton warned about ""Trump deplorables,"" calling them ""the biggest threats to America."""	false	https://www.snopes.com/fact-check/clinton-trump-deplorables-america/
2	Actor/comedia Eddie Murphy died in a car crash in 2018.	false	https://www.snopes.com/fact-check/eddie-murphy-death-hoax/
3	AR-15 rifles were used to commit every major mass shooting in the United States since a 2012 attack in an Aurora, Colorado movie theater.	True	https://www.snopes.com/fact-check/were-ar-15s-used-mass-shooting-aurora/
4	"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise on human time scales."	false	https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/
5	"Facebook vice president Jeff Rothschild said ""In order to finalize the New World Order process we need a 3rd world war to exterminate 90% of the world's population."""	false	https://www.snopes.com/fact-check/jeff-rothschild-third-world-war/
6	Images show the aftermath of a plane crash in Havana, Cuba in May 2018.	false	https://www.snopes.com/fact-check/is-this-plane-crash-havana-cuba/
7	A woman in Oklahoma was killed by a pack of small dachshunds.	True	https://www.snopes.com/fact-check/oklahoma-woman-killed-pack-small-dachshunds/
8	Louisiana will evict elderly people from nursing homes because Medicaid funds ran out.	false	https://www.snopes.com/fact-check/will-louisiana-evict-nursing-home-patients/
9	A video shows a group of ducks patiently waiting at a traffic light.	false	https://www.snopes.com/fact-check/did-ducks-obey-traffic-light/
10	A woman in South Korea was impregnated via mouth after eating a squid.	false	https://www.snopes.com/fact-check/woman-pregnant-eating-squid/
11	A photograph shows Nikola Tesla working as a swim instructor on a New York beach near the end of the 19th century.	false	https://www.snopes.com/fact-check/nikola-tesla-swimming-instructor/
12	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
13	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
14	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
15	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
16	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
17	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
18	The NRA is a tax-exempt nonprofit organization.	True	https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
19	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	https://www.snopes.com/fact-check/white-house-comment-line-trump/
20	Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
21	President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.	True	https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
22	A video shows a group of ostriches skiing down a mountain.	false	https://www.snopes.com/fact-check/skiing-ostriches-real/
23	"The ""Wall Street Journal"" (or another large news outlet) has published documents leaked from Walter Reed Medical Center which show President Donald Trump's ""true"" weight and prove a conspiracy to mislead the public."	false	https://www.snopes.com/fact-check/trump-weight-girther-leaked-documents/
24	"President Trump tweeted that there should be a Mother's Day for fathers, but ""the liberal media won't let that happen."""	false	https://www.snopes.com/fact-check/president-donald-trump-tweet-mothers-day-fathers/
25	"The Ku Klux Klan held a march and rally at the 1924 Democratic National Convention, which was thereafter popularly known as the ""Klanbake."""	false	https://www.snopes.com/fact-check/klanbake-1924-democratic-convention/
26	Coconut water can be used as an intravenous substitute for blood plasma.	false	https://www.snopes.com/fact-check/can-coconut-water-substitute-blood-plasma/
27	Maxine Waters told CNN that her first act if elected president would be to impeach Donald Trump.	false	https://www.snopes.com/fact-check/did-maxine-waters-say-impeach-trump/
28	"Fisher-Price manufactured a ""Tiny Toker"" toyset featuring a toy bong and other marijuana paraphernalia."	false	https://www.snopes.com/fact-check/did-fisher-price-release-tiny-toker/
29	"In 2018, White House Press Secretary Sarah Huckabee Sanders was listed as one of the 10 ""most admired"" women in the United States."	True	https://www.snopes.com/fact-check/sarah-huckabee-sanders-voted-among-admired-women-united-states/
30	A lottery winner was arrested after he spent $200,000 to dump manure on his ex-boss's lawn.	false	https://www.snopes.com/fact-check/lottery-winner-arrested-dumping-200000-manure-lawn-former-boss/
31	"A photograph shows the first ""blue bow trout"" caught in Pennsylvania."	false	https://www.snopes.com/fact-check/blue-bow-trout-real/
32	"A woman claimed she was ""fat shamed"" by a Harry Potter-themed ride after getting kicked off."	false	https://www.snopes.com/fact-check/woman-say-theme-park-fat-shamed-couldnt-fit-ride/
33	Rep. Debbie Dingell is introducing a bill that would lead to widespread gun confiscations.	false	https://www.snopes.com/fact-check/is-rep-dingell-gun-confiscation-bill/
34	"Pilot Flying J removed American flags from their flagpoles because ""foreigners were offended."""	false	https://www.snopes.com/fact-check/pilot-flying-j-flag-controversy/
35	Each refugee in Canada receives $3,874 every month from the government under the Resettlement Assistance Program.	false	https://www.snopes.com/fact-check/canada-refugee-benefits/
36	Bacteria formed on cut onions and potatoes are responsible for more food poisoning cases than spoiled mayonnaise.	false	https://www.snopes.com/fact-check/cut-onions-contamination/
37	Willie Nelson fell seriously ill in May 2018.	false	https://www.snopes.com/fact-check/willie-nelson-seriously-ill/
38	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
39	A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.	false	https://www.snopes.com/fact-check/new-facebook-algorithm-26-friends/
40	The NRA is a tax-exempt nonprofit organization.	True	https://www.snopes.com/fact-check/nra-tax-exempt-non-profit/
41	The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.	True	https://www.snopes.com/fact-check/white-house-comment-line-trump/
42	Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.	True	https://www.snopes.com/fact-check/kochs-contributed-ryan-after-tax/
43	President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.	True	https://www.snopes.com/fact-check/trump-sign-bill-revoking-obama-era-gun-checks-people-mental-illnesses/
44	People are adopting pit bulls with the express goal of euthanizing them, and then bragging about it on the Internet with the hashtag #PitbullDropOff.	false	https://www.snopes.com/fact-check/are-people-adopting-pit-bulls-euthanizing/
45	Image depicts a military spouses gathering at the White House, and no people of color were included.	false	https://www.snopes.com/fact-check/military-spouses-white-house/
46	Palestine will compete in Eurovision 2019.	false	https://www.snopes.com/fact-check/was-palestine-permission-compete-eurovision-2019/
47	A photograph captures undocumented immigrants lining up to vote in Battsville, Arizona.	false	https://www.snopes.com/fact-check/illegals-lining-vote-battsville-arizona/
48	A man in Zambia was arrested after proclaiming he had employed a 'cannibal diet' to lose weight.	false	https://www.snopes.com/fact-check/cannibal-diet-zambia-arrest/
49	A man carried his horse for three miles after it was bitten by a venomous snake.	false	https://www.snopes.com/fact-check/man-carry-horse-snakebite/
50	Video captures a woman who thwarted and subdued an armed man attempting to rob attendees of a Mother's Day event.	True	https://www.snopes.com/fact-check/brazil-mothers-day-robbery/
51	"Ayatollah Ali Khamenei shared a photo of himself reading Michael Wolff’s ""Fire and Fury."""	True	https://www.snopes.com/fact-check/ayatollah-khamenei-share-picture-reading-fire-fury/
52	"Sen. John McCain was referred to as ""Songbird John"" following his imprisonment during the Vietnam War."	false	https://www.snopes.com/fact-check/was-sen-john-mccain-a-hanoi-hilton-songbird/
53	In 1988, the U.S. Navy shot down an Iranian passenger jet, killing 290 civilians; Some members of the crew that shot the plane down were later awarded medals, and the United States has not formally apologized for the event.	True	https://www.snopes.com/fact-check/united-states-navy-shoot-iranian-passenger-jet-1988-killing-290-civilians/
54	An image shows an Asian giant hornet, a large insect with a potentially deadly sting.	false	https://www.snopes.com/fact-check/is-this-asian-giant-hornet/
55	Sexuality educator Deanne Carson said parents should ask a baby's permission before changing their diaper.	false	https://www.snopes.com/fact-check/did-educator-say-ask-babies-permission/
